NAMA PERGURUAN TINGGI,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO
UNIVERSITAS MALIKUSSALEH,11121015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,30,18,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121016,SISTEM INFORMASI,Sarjana,100,284,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121017,ILMU KELAUTAN,Sarjana,50,47,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121018,TEKNIK MATERIAL,Sarjana,50,13,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121019,TEKNIK LOGISTIK,Sarjana,50,43,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121020,MANAJEMEN,Sarjana,200,616,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121021,AKUNTANSI,Sarjana,155,325,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,140,85,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121023,ADMINISTRASI PUBLIK,Sarjana,175,260,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121024,SOSIOLOGI,Sarjana,103,163,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121025,ILMU POLITIK,Sarjana,100,62,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121026,ANTROPOLOGI,Sarjana,50,35,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121027,ILMU KOMUNIKASI,Sarjana,175,306,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121028,HUKUM,Sarjana,275,354,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121029,EKONOMI SYARIAH,Sarjana,103,157,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121030,PSIKOLOGI,Sarjana,98,392,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121031,PENDIDIKAN BAHASA INDONESIA,Sarjana,90,298,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121032,ADMINISTRASI BISNIS,Sarjana,75,199,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11121033,KEWIRUSAHAAN,Sarjana,60,80,Tidak Ada
UNIVERSITAS MALIKUSSALEH,11123034,KEPERAWATAN,Diploma Tiga,50,124,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131001,TEKNIK SIPIL,Sarjana,60,94,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131002,TEKNIK MESIN,Sarjana,64,80,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131003,TEKNIK INDUSTRI,Sarjana,48,97,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131004,AGRIBISNIS,Sarjana,48,72,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131005,AGROTEKNOLOGI,Sarjana,40,44,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131006,PERIKANAN,Sarjana,24,45,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131007,KESEHATAN MASYARAKAT,Sarjana,64,301,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131008,AKUAKULTUR,Sarjana,16,20,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131009,SUMBER DAYA AKUATIK,Sarjana,16,8,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,56,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131011,ILMU KELAUTAN,Sarjana,16,18,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131012,TEKNOLOGI INFORMASI,Sarjana,48,166,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131013,GIZI,Sarjana,64,359,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131014,EKONOMI PEMBANGUNAN,Sarjana,28,37,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131015,ILMU ADMINISTRASI NEGARA,Sarjana,72,170,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131016,SOSIOLOGI,Sarjana,48,91,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131017,ILMU KOMUNIKASI,Sarjana,72,131,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131018,MANAJEMEN,Sarjana,72,265,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131019,AKUNTANSI,Sarjana,72,147,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131020,ILMU HUKUM,Sarjana,72,130,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131021,PETERNAKAN,Sarjana,24,20,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131022,BISNIS DIGITAL,Sarjana,32,44,Tidak Ada
